booking_id,room_id,booking_date,duration_hours,attendees,purpose
BK001,R101,2026-07-06,2,28,Meeting
BK002,R102,2026-07-06,3,36,Class
BK003,R201,2026-07-06,1,10,Workshop
BK004,R301,2026-07-07,2,20,Meeting
BK005,R401,2026-07-07,3,52,Class
BK006,R101,2026-07-07,1,18,Meeting
BK007,R501,2026-07-07,2,30,Workshop
BK008,R202,2026-07-08,2,44,Class
BK009,R601,2026-07-08,3,70,Exam
BK010,R302,2026-07-08,1,12,Meeting
BK011,R103,2026-07-08,2,22,Meeting
BK012,R402,2026-07-08,3,58,Class
BK013,R203,2026-07-09,2,50,Class
BK014,R502,2026-07-09,1,15,Workshop
BK015,R101,2026-07-09,2,32,Meeting
BK016,R303,2026-07-09,3,60,Exam
BK017,R603,2026-07-09,2,38,Class
BK018,R503,2026-07-07,2,40,Workshop
BK019,R201,2026-07-09,1,8,Meeting
BK020,R102,2026-07-07,2,16,Meeting
BK021,R602,2026-07-08,3,72,Class
BK022,R301,2026-07-06,1,5,Workshop
BK023,R401,2026-07-09,2,24,Meeting
