time,academic_m3,residential_m3,target_m3
2026-07-15T06:00,1.65,3.05,10
2026-07-15T07:00,1.96,3.32,10
2026-07-15T08:00,2.42,3.60,10
2026-07-15T09:00,3.01,3.88,10
2026-07-15T10:00,3.68,4.15,10
2026-07-15T11:00,4.40,4.39,10
2026-07-15T12:00,5.12,4.60,10
2026-07-15T13:00,5.79,4.78,12
2026-07-15T14:00,8.78,4.90,12
2026-07-15T15:00,9.24,4.98,12
2026-07-15T16:00,9.55,5.00,12
2026-07-15T17:00,9.69,4.96,12
2026-07-15T18:00,9.65,4.87,12
2026-07-15T19:00,9.44,4.73,12
2026-07-15T20:00,9.06,4.55,12
2026-07-15T21:00,8.54,4.32,12
2026-07-15T22:00,7.91,4.07,12
2026-07-15T23:00,7.21,3.80,12
2026-07-16T00:00,4.09,4.72,12
2026-07-16T01:00,3.38,4.44,12
2026-07-16T02:00,2.74,4.18,10
2026-07-16T03:00,2.21,3.94,10
2026-07-16T04:00,1.80,3.74,10
2026-07-16T05:00,1.57,3.58,10
2026-07-16T06:00,1.65,3.05,10
2026-07-16T07:00,1.96,3.32,10
2026-07-16T08:00,2.42,3.60,10
2026-07-16T09:00,3.01,3.88,10
2026-07-16T10:00,3.68,4.15,10
2026-07-16T11:00,4.40,4.39,10
2026-07-16T12:00,5.12,4.60,10
2026-07-16T13:00,5.79,4.78,12
2026-07-16T14:00,8.78,4.90,12
2026-07-16T15:00,9.24,4.98,12
2026-07-16T16:00,9.55,5.00,12
2026-07-16T17:00,9.69,4.96,12
2026-07-16T18:00,9.65,4.87,12
2026-07-16T19:00,9.44,4.73,12
2026-07-16T20:00,9.06,4.55,12
2026-07-16T21:00,8.54,4.32,12
2026-07-16T22:00,7.91,4.07,12
2026-07-16T23:00,7.21,3.80,12
2026-07-17T00:00,4.09,4.72,12
2026-07-17T01:00,3.38,4.44,12
2026-07-17T02:00,2.74,4.18,10
2026-07-17T03:00,2.21,3.94,10
2026-07-17T04:00,1.80,3.74,10
2026-07-17T05:00,1.57,3.58,10
