center,capacity_people,assigned_people,travel_min,access_score,water_kits,food_kits,medical_kits
EC-A,140,95,10,55,92,101,24
EC-B,178,137,17,66,128,137,30
EC-C,216,186,24,77,168,177,36
EC-D,194,184,31,88,163,169,42
EC-E,232,241,38,55,153,213,48
EC-F,270,184,45,66,194,194,54
EC-G,248,191,14,77,193,191,60
EC-H,286,246,21,88,240,235,66
EC-I,324,308,28,55,214,282,29
EC-J,302,314,35,66,217,278,35
EC-K,340,231,42,77,265,245,41
EC-L,378,291,11,88,318,291,47
EC-M,356,306,18,55,235,292,53
EC-N,394,374,25,66,284,343,59
EC-O,432,449,32,77,337,397,65
